03/29/1847,09:34:00 AM,"Levi Jackman","I am leaving home with Simon Cantier as pianears to go with the Company of pianears to finde a location for the Saints Some whair in the west","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a3.twimg.com/profile_images/674270149/jackman_normal.gif"
04/01/1847,07:30:00 PM,"Levi Jackman","Just arrived at the main camp on the west side of the Missouri river. Likely leave in the morning.","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a3.twimg.com/profile_images/674270149/jackman_normal.gif"
04/05/1847,08:29:00 AM,"Heber Kimball","Leaving Winter Quarters with 6 of my teams","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a3.twimg.com/profile_images/678227345/thumbnail.aspx__7__normal.jpg"
04/05/1847,02:35:00 PM,"Heber Kimball","We've gone about 4 miles. We formed an encampment with several others in my division.","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a3.twimg.com/profile_images/678227345/thumbnail.aspx__7__normal.jpg"
04/05/1847,05:18:00 PM,"Heber Kimball","I am heading back to Winter Quarters for the conference tomorrow.","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a3.twimg.com/profile_images/678227345/thumbnail.aspx__7__normal.jpg"
04/06/1847,08:49:00 AM,"Orson Pratt","It has been decided that several of the Twelve, with a company of pioneers, numbering in all, 143 souls, will leave ""Winter Quarters"".","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a1.twimg.com/profile_images/674343752/thumbnail.aspx__2__normal.jpg"
04/06/1847,08:50:00 AM,"Orson Pratt","We intend to explore the country, and find a place the most suitable for forming a settlement.","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a1.twimg.com/profile_images/674343752/thumbnail.aspx__2__normal.jpg"
04/06/1847,09:49:00 AM,"Heber Kimball","Saints are gathering for the conference. Most of the Twelve are here. We expect to hear from President Young.","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a3.twimg.com/profile_images/678227345/thumbnail.aspx__7__normal.jpg"
04/06/1847,12:05:00 PM,"Heber Kimball","The conference included the sustaining of Church leaders and President Young speaking. It didn't go too long due to the cold weather.","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a3.twimg.com/profile_images/678227345/thumbnail.aspx__7__normal.jpg"
04/06/1847,12:44:00 PM,"Levi Jackman","Just arrived at the big Elk horn. We have fell in with 4 teams that started a little before us.","Along the Pioneer Trail","http://lds.org/churchhistory/library/pioneercompanysources/0,16272,4019-1-1,00.html","http://a3.twimg.com/profile_images/674270149/jackman_normal.gif"
